Factorisations Of Cunningham Numbers C-(5,n) = 5^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
            7476427578502461453809.11735415506748076408140121.8222628300623099463003315779263154383.1608861880438030545\
            30871719304783265100827282810075925369403839312088918579
 343     6  2^2.19531.227376585863531112677002031251.245723963580715350733457214075196517831719729.12785972405815115979\
            83654219209525396932070524433344237326668369173941443749812057683311455075809707706136357396011414701228656\
            15576867212314891873256465501386619
 344    21  2^5.3.13.173.313.1549.9547.18233.1644512641.7866608083.30185745097.1628744948329.2171388367013.264671329461\
            2838233.172827552198815888791.132331554743163541916284364878460504933118649.1831890377493675613531600527379\
            231981056615892510222098271634062217297884703623956697
 345    30  2^2.11.31.71.139.181.461.691.1741.6211.8971.21391.31741.37951.689081.1715341.2855911.29028071.824480311.534\
            7963681.17223586571.27875688121.332207361361.598761682261.8868050880709.100062970166640331.2351881115374174\
            051.233740944633134232457877993341.357284241084505251490147974671655271
 346    11  2^3.3.347.1039.3461.42794294406607.1708272343265311.3399198310201876309603479571994210993424343866291299248\
            07724899548171905079254114627192212342747249.93744145524196309460795770694861230116076044530490776323681066\
            917189243370104310875979970232855261687349
 347     6  2^2.34911671.9060198312365106899848549.85150332766629250316026480136870629246884493731644084270292468229164\
            7564259.323770162898081478704725360838638437168151386304141047610715293799075875077933799252251892286294703\
            190059762015678012546462508728680671
 348    26  2^4.3^2.7.13.31.59.349.601.5569.6961.35671.382801.5096867.506670253.6090817323763.22125996444329.2103904870\
            70809.146817720340602448117.22500358133965991972941.28870194250662203210437116612769.1334402673828313149547\
            634216455312875601.70334609994694963405747806474103032308808001
 349     4  2^2.4652487287288953946531538889438185313759752708539442067321797083255783029439962606722619587106697706119\
            63071.46858278238402724825056648676165176565154691216759681819751982072407854310205252922159193920727455592\
            12525121242512397104031773498892011
 350    35  2^3.3.11.29.71.101.211.251.401.449.521.631.701.1901.2801.4201.12601.19531.28001.50051.200201.8894201.938425\
            1.15216601.22661801.85280581.1657309151.4698932281.50150933101.38105263380318401.6309154245455368301.167114\
            49148651875290388101.60748729625391012923689977527382296073385364682787107908201
 351    18  2^2.19.31.79.109.271.829.4159.31051.7655311.223963741.305175781.608459012088799.937938782117311845318745554\
            345005320717861.6475711850365695029787483033056414199292785571.14891610230061542199037902258053562807928024\
            49809.128625980740150302845955193531591585859041755400069
 352    32  2^7.3.13.17.23.67.89.313.353.2593.5281.11489.13729.929281.1827937.2704769.12207031.29423041.1030330938209.1\
            800750547615213217.71225159567951317923809.91029014606406186465761.609201485490930587260897.830940907997357\
            679202561.9080418348371887359375390001.4300806813670912100945629926401
 353     8  2^2.235099.5451190499.205504553260781.34785215885504832719.859797113806934635048792023389295069682301875698\
            4661.172980545933980592759635421037617845365668901152373051106124481613118837970948872814393501930944869910\
            86638512149316831848046668360439664147709039
 354    23  2^3.3^2.7.31.709.827.1063.198241.347629.5242462229.49987218529.3237765225301.2059647179472887.2118024763673\
            2981.130325543183670643.504583856881942565107.1663887084465861537223.2047572230657338751575051.340863370420\
            651571324835367261.14365640833437852408745701299256005364862514221
 355    13  2^2.11.71^2.569.17041.7484111.8499626476216091.8558727566683804731617356972960527829841.2241500743939567995\
            114937078033007527286011.18607929421228039083223253529869111644362732899.2789899902767555619393229690960985\
            404996951400604794095092611250582000214439539607761
 356    17  2^4.3.13.179.9807089.14597959.834019001.8157179360521.39387996609449861.56522267529181963.23166965436368313\
            0095909.12094715786677995586454978647.20365288294844141313970353677.492943178875032482640838985113395959050\
            14570264936419901218440567579801053361633437921664941413
 357    17  2^2.31.239.379.409.1429.4999.19531.90271.317731.519499.466344409.654652168021.7497182681291140146079.788868\
            477693980100643230089490226571.1975408684246842264294924267087064892328531978347184407421407648098857120423\
            08496715342794232198055831339832002412306144690704343281281
 358    16  2^3.3.359.3581.75539.17315029.21320258969.12021304420747747.227138023883511049.20324346366468227562461.1008\
            94073362387242965129.9711234996179070876201114229.1893017204291990900535319125287.1923144444622137288108181\
            60511138304152610629589418566747969452950500442408719960811
 359     7  2^2.719.41785692653578003162849.6677881008782967997903339939.837248571667848555569202584041.126742414920203\
            90372879404324030085647581887113277253907914531245278824224481360352587076129511962156023104294070620744400\
            6053571266753712957490848246637756268441138399
 360    48  2^5.3^3.7.11.13.19.31.37.41.61.71.73.181.241.313.521.601.829.1171.1741.2281.5167.7621.8641.9161.169831.3900\
            01.440641.543097.6597973.20478961.69566521.297315901.632133361.1503418321.356646293281.6794091374761.255357\
            54811081.50735307557193841.60081451169922001.23320317172851318360001.183199167868426942613978977201
 361     9  2^2.191.6271.3981071.129422865652104096162599.6417463808715658282089494909.22456741321661756943535202665387\
            921991636237742965091090748406504927189.5984395762248609572279192047376059886196906631949613426236912991955\
            441339250025261773092041645626874125392243345854449
 362     9  2^3.3.1087.28961.101723.16980765983209979758682235400739770778393213235848985201725033816645455935850837056\
            3904333431096051133215931383061.815663058499815565838786763657068444462645532258620818469829556933715405574\
            685778402862015856733535201783524826169013977050781
 363    11  2^2.31.199.3631.12101.486179.12207031.386478495679.13094322377956920597215509541997540493466263550896158313\
            340716530769.1634461503595870854157368061073763250000836472781730546527970244177537934869082898357265166920\
            726543984574572639635628298065200380354358436843968711271
 364    23  2^4.3.13^2.29.53.449.5227.19531.38923.234750601.305175781.3640732369.83181652304609.15887476811320661.14143\
            7955091157453.9680647790568589086355559.17499733663152976533452519.15994146485373751289418997754783021.9056\
            4759861751060627735545502572941779870922788399250312667071190788497493
 365    17  2^2.11.71.6571.4853479.5729041.1328865721.650916499741.1077334433621.22354588958731.33735961890251.56029438\
            0367699191.11219338425853865221726037921.42434007509734397875444048149341.951952415177034991472620057671402\
            7279.1306304716523698450256815741231045818640788810186736704656041
 366    21  2^3.3^2.7.31.367.8419.9029.17203.38431.11833147.2880471241.918585913061.15571335384347.1117197595048793563.
            14008364639128540436401.140194179307171898833699259.1367172296621765608583209862989093193371834027.15786910\
            611608572151933615919570920019287733311030065854227025502988497719030991
 367     6  2^2.1047157937929.645658411286666140609459.52862043959452141411641760543741.2326872816898127652513992426328\
            99304811415254533720356671142092434735017734726645411454917083829314845217704787162571512260236524540455971\
            738608692205458595453090938870011938902493302397981
 368    22  2^6.3.13.17.47.313.8971.11489.14966561.332207361361.42272797713043.150220315444217.732318765422081588144512\
            1.5465713352000770660547109750601.36153673470666026958084532869022033.2147520884914622105919955818286288611\
            92144614553.263478411865578695860526574080287248856096438703401625137
 369    14  2^2.19.31.739.829.960139.1785961.2238236249.9025583299.5079304643216687969.5832474690386022428273180864659.
            127551580041880421988556534595464339049133992744450750874579570996690409.4401767427471554245569888823116891\
            427547631641532952579412629834769301147800029941446798924602489
 370    21  2^3.3.11.71.149.521.2221.2591.3701.9103.29010221.30810641.13971969971.8737481256739.45920153384867.21829321\
            837586441.715560993113581787837326861.28777599166877704189454473512597567684018827891.654418058067838415738\
            2192436935998430147305775271477882901122358940971377123359179724468647761
 371    13  2^2.2969.11131.19531.5960555749.17154094481.35922655704041.27145365052629449.226578241537144915139.11014814\
            494800487352604755748091574916119.22524108177157511856531387268450126765714109909640309103811550689.1436749\
            612911088434153004753051255292682012945384094808180957524920544871
 372    29  2^4.3^2.7.13.31^2.373.601.1117.1303.1489.1861.148429.878851.21207101.258065887.10269119521.28086211607.7500\
            5167927.625552508473588471.8124604717965111529.53345671490722200466369.102651353523520067851969.17297481246\
            3239310024750410929.122805029678209774239568680554379023530649238353837445060117108769
 373    10  2^2.2239.4350204259.1368671486390599.437284546695919489287780329.132287615591619115060073063073355132265371.
            993814769723013038733622579709248518485779.2634696095973127246023496488851214554377085833500724085471.64353\
            084849153034985218924257465472793164432610640368232919899649
 374    19  2^3.3.23.67.409.1123.3061.5281.12343.4200769.12207031.41540861.466344409.1202338040280510524134632541097924\
            516136661.17871635646349095375983368709164224334356049680569.3314493287892012349990172850011911551024957786\
            4305170741.1083765449307240209607018228295109706706942047703089360879158269
 375    28  2^2.11.31.71.101.151.181.251.401.751.1741.3301.1989151.3597751.9384251.28707251.49892851.183794551.31728600\
            1.281057814001.527559073501.4032808198751.767186663625251.38033863525621501.24687045214139234043375683501.7\
            37962557804233329344080750978381574252001.62753577143735058959113029287733702194964639751
 376    22  2^5.3.13.313.2069.5077.12409.90617.755009.951281.15888756269.329573417220613.12795134934601897.360237201090\
            9260861.177635683940025046467781066894531.4760594190627487654169124325931441.935213864500231208652603316429\
            973471246089.102709311506760564596220994569542246072758985784591096622629841
 377    12  2^2.59.35671.305175781.13076016539.1267005005969.2778318756799.22125996444329.72952844755822287959.79135841\
            18074610352277451069398306909.21506024023653866864392681997083815731312104979211684452127327404204176896690\
            9420375540999936619499359199067361304811975218220016975746204769799
 378    42  2^3.3^4.7^2.19.29.31.43.109.127.163.271.379.449.487.829.883.4159.5167.7603.19531.31051.280729.406729.519499.
            2161279.2932903.16018507.24132781.238040587.1692416503.3916103733109.23792163643711.305921358183421.1743424\
            593819524631667.646479299170153749876240547.10072805480453583986931919773741297628474934622266057811409981
 379     6  2^2.15919.19709.154593500445308877590595293456916511.418600794994852223077907809503298043392546362454359975\
            29042203803559017464055721228065828012877736510442196227999749027441133636793780515165996915707368994923112\
            234114211497494818757357039023864566980225773307642997757251
 380    29  2^4.3.11.13.41.71.191.521.761.2851.4561.6271.9161.19609.98041.213029.3981071.4113691.4885168129.25746459492\
            07561.2864226125209369.1245576402371959291.11600321878916922053491.179763436784239734042181.309828362361188\
            845069741.184751796937452176991314167585326070457327812271209511954118637043330121263546401
 381     8  2^2.31.17365824770202511.2146271536375625882474712607488854837881.12882995722731844746940951540119250212241\
            259630747509.232071850047734595810657641340191685995462669499867768115441253013859.146936793852785938496092\
            06715278070972733319459651094018859396328480215743184089660644531
 382    11  2^3.3.383.112691.60426671.17932621608157901.45343989264399047245009865403089.170512920696746400054529876722\
            47750911936235878013818247660621722169977358186200783.11697496802449123261382115181736481043427084173214620\
            88878770777077018070874770315901989031997671838650855091818008950671
 383     7  2^2.525692477729.2948582111117607147637161465549027541.4260621080011732733351177066528303869.13544921800072\
            89973988827240992403128157841807978803698384041173092322450899036561238231.14185912167341600548757652045702\
            2813549276133442472424132316715183883619940396780389749463541861
 384    34  2^9.3^2.7.13.17.31.97.193.313.601.641.769.2593.11489.390001.29423041.75068993.152587500001.241931001601.366\
            6499598977.5207826497153857.240031591394168814433.539344757336151926206665601.96132956782643741951225664001.
            293873587705571876992184134305561419454666388650920794134435709565877914428710937500000001
 385    24  2^2.11^2.71.211.631.4201.19531.103511.511831.2471701.12207031.65628751.85280581.190295821.527093491.9274761\
            43441.8090594434231.134234460550630441.33411357084712191971.162715052426691233701.1067461802581278495846250\
            192908016741836732696181.64440266419060297593927231583967276091233694866771034733715169851
 386    11  2^3.3.69481.1046447.749154725101.406875383561091922623241829.1330202277214530191211724553534860452103425405\
            6544901.137264616753458559985037764860037509634175051850677845943197547205305803.65330789592975635703206954\
            1177270095642284909406860982228674482418078001190973372748580182250689
 387    16  2^2.19.31.829.27091.42571.237619.18471511.1644512641.172827552198815888791.43955934961951833386625799.51349\
            797354047205216257689.591570397114510975382037276803611.2656120768584457773885517433083338243991.3183308172\
            27895965870700138000837743143342446362870016166654233977116500855329574559821039
 388    19  2^4.3.13.389.25997.29683.52769.261707.264811.547663.66477837920609.90130760102421063383.3749623218526664183\
            69.27430239803369083066006288929529.153159805660301568024613754993807288151489686913246436306439.4479616945\
            301898660674760002387934391400228392792622816603378315956666439857992939659088517
 389     7  2^2.179719.138068549.3391732755856086401282016931.938771696215104284269332314644379220538175395465690595847\
            6063709922148736350901.250958163952925651414575360976153789799183788326073526515848976631847220574141884529\
            46820822572335773915521260031258185798033982466691092819952150667121
 390    34  2^3.3^2.7.11.31.61.71.79.131.181.521.1741.3121.5227.7621.14821.18461.38923.305175781.933692761.151888863435\
            41.22735632934561.608459012088799.1034150930241911.14011933046202781.15199221608544481.20986207825565581.17\
            55692053873139750161.13139700116898999203751361.86047082949427536089202802741.431114130336966439253639900581
 391    13  2^2.409.8971.2568871.74708371.466344409.311250747739.332207361361.416079604348810289.7877751033874849809518\
            11308682438561347569.553265630385022055666695438035664111456941805599247964204695144048160899.8050024010862\
            0821600554970587125841775999919410290262911667706097023511257891861551435581
 392    25  2^5.3.13.29.197.313.449.19531.19993.49105547.234750601.1866013003.2333311009.2481357870461.38811185416697.1\
            64204573839769.59509429687890001.74535675530760254357.21441970593484574539001.22737658586353111267700203125\
            1.1476227273305643921846650230577763857080191997906995442200755205808187780477708230044943809
 393    11  2^2.31.2621.23928199.34720241.344313589.16815642611861.2508056664334165326784295251249770903189759990017963\
            54124089.3275262323842759491144568903593811836020835083160675552849533185921.385992787277997587628278841690\
            21535023276192085755949246058066094959324395874686038484382260938293077401109
 394    10  2^3.3.20420627.470323176131.362204827770839.1526268143138331950101.2662193946798777837030305003416365056937\
            998391437636615084793850134045443158227244202925103830353865072242023.7306009762473944241862871799160074067\
            31365107091939767543519557253021863903691190053568311733456440015345138409
 395    14  2^2.11.71.190391.68175421.38701052851841.205367807127911.58523123221688392679.104449388937445035371.3441204\
            56368919234899.6440862401422039384631.1191410138925750382566982647969583249462584688509687966201101.2382111\
            55833181064168048688777161107278542968978053213871798263916689422578355775945736571
 396    37  2^4.3^3.7.13.19.23.31.37.67.89.199.397.601.829.1453.5167.5281.143551.595123.1731511.6597973.12207031.190771\
            747.386478495679.766142400277.1030330938209.22542470482159.153560376376050799.750213207760936191769333.6509\
            387183417404924784917.874300184250616439267985523227691404297001.329718718905898670655240329350697023467943\
            5613
 397     6  2^2.1043801929.7768438039.9817109164720890817702170752376314347166114272389620675501.9729629626476161747522\
            04333097251522141417517801451644386598355760025350260093138694045697629783845650164313228179114516553703420\
            23506772228848750892368094514588790972171163634217281833494678933726551
 398    10  2^3.3.2389.53731.75223.44656987140518535039596003383.258477886375764930647353872316066590222941528747358506\
            038162620747129373479612613318712406500802052921.5790898436527462458491433300869260055266282191585087875808\
            3011806868463587457738002121166767096402607032872918381590535488973250751801
 399    18  2^2.31.191.379.6271.9311.19531.65171.281429.519499.3981071.93174481.3257947519.152317058321.117354155067480\
            76408140121.29090007107767075239783794592001366542871.12636886371377048104765751997603222196372814678504567\
            2287466498889949586726611946329514911779372482581842421351214666490207902222356573808012801
 400    38  2^6.3.11.13.17.41.71.101.241.251.313.401.521.1601.1901.4001.9161.11489.25601.132001.239201.776401.9384251.4\
            24256201.632133361.50150933101.89620825374601.103390853395201.909456847814334401.45804743639930233601.66821\
            9906430537590060380972001.201729070811027930976007420652223887947601.13505086673053932226501920183470208882\
            26557601
 401     4  2^2.58161041.8322993898203520533655060079835812789978731622188448418348811323168236337314023413161316684215\
            24340689684685687528028328140403384241426816002639561303018650406041577142362961389057676592561065510074296\
            90917476494277786185141075983466670178977596319342971168274696915796641
 402    18  2^3.3^2.7.31.269.1609.26399.2454335007529.116555713473655927.30825527446446607747.604088623657497125653141.
            1248228732195063112609361470351.11293772630057337854244300009061892827351888021.608579336957961272074744233\
            94841702190927664498955594149.118665565193553599548973071707180632259340693379855907500925271
 403    11  2^2.1861.1892489.305175781.688730186119.625552508473588471.311447631608357947354270996859.50317705633673013\
            70277089549186021905732092831.3289738876326055626218496122253460916812420650821714159179769278548188108251.
            50692274351165075296529758515617402544053669424430715143598748112190442477479524889
 404    16  2^4.3.13.809.3637.5728721.5937018283241.3375268261753121.3434487311396589821473854121.483593153887747265029\
            536907421.54234164649457019858090786783366331533.6573840876841765045097738044023218580610053625908525039752\
            324422200521.19392633174315228382465789474390829973032729104217863659755739551860491049
 405    30  2^2.11.19.31.71.109.181.271.541.811.829.1171.1621.1741.4159.4861.6481.11071.31051.169831.297315901.92173788\
            1.2332368714077641.1312315694449748688331.26941244373060650224561.279151346689444799703543961.4732858648953\
            373926861365363761501.11419697846380955982026777206637491.3923802514914288391843628693248942247985654993177\
            54604411
 406    19  2^3.3.29^2.59.449.19531.35671.493291.5096867.6090817323763.22125996444329.23039208450560482164167.497865506\
            2910170670969991331.104193411347291769738017451047.46071314775951042545073861671336487915817343677044617013\
            083047061.870644868196664798437471040084684397998331787855406407455272073598393651325508166801
 407     8  2^2.149.24421.12207031.13971969971.8737481256739.1394851947819063929960219801868259089258080892285845579780\
            26319116401980096161248155685361218832264190199230309061319889733187180026681798822235922737020546013157794\
            37674801425715780621966607518027021452367523127964528556542445237819143284900404701
 408    41  2^5.3^2.7.13.31.103.137.313.409.601.1973.2857.3061.6733.8467.20129.45289.90271.317731.390001.528667.623017.
            4613053.19724557.34288117.41540861.466344409.12447002677.60119016343.654652168021.938894988049.136175388020\
            9.4959636586609.26837241260899651321.65127801352770865664923661368506241.1581897033493188819771058354415252\
            729838488128568473
 409     5  2^2.4909.924087519761335605822218427505233971520578169790139570308423505134963796317426081635865410787919.4\
            16836408261787338371839102627769670696381176482935643426318103125275787752959473308865024829679003989809141\
            331041044865380871155359850939365302542268378619457983363711410998624606306211
 410    23  2^3.3.11.71.83.521.821.15991.43543.221401.2175461.2238236249.1256950067521.33996220923281.9472026608675509.
            24834433083178321.5079304643216687969.3788285672971032867364321.9353066485119999732284835819085027408231.14\
            36881369899172813331496702637026412971521496281.29126077906797054524253118878873401242767428008603378081
 411    13  2^2.31.20551.603349.48102071.1758306499.13509261751.121719631478506669.7851027307722624763151.3501243666084\
            542114634292493431.251755028858658462627642052961230751431.127782376302593668201597380862300429205001455387\
            061193802924304079233341418999754644640080567503105705125240449759273180670045616968424439259
 412    13  2^4.3.13.3709.28429.59117897713198738371603984809.39546955636451768643571562540114219.720016715917900826434\
            290826659207222585733.164346021921044126127443451100580464515251340647713125993808110555013021.519403612801\
            61112840277088349043555612572630726432155957078345666923882097062216387267033949767996597
 413     7  2^2.19531.21180247636732981.2047572230657338751575051.1677756178117368440322458992363311946171.831626286333\
            27752683158864514528454619935104679027505205924201968638406568639105329579779217240274560921898415992380532\
            4701783992565462392410617996981807884819142728559098593265467386103825509076351505451
 414    31  2^3.3^3.7.19.31.47.139.829.3727.5167.6211.8971.17389.314227.66163549.253592389.2401937749.10047916621.67153\
            740229.332207361361.598761682261.8868050880709.42272797713043.403316413944121.21529311546645480718499389608\
            7.261794963011004419067612691823.18133283200612459389452401756767476520342710009526710760461219593942056686\
            456982781
 415    15  2^2.11.71.116201.1209311.20515111.90045041.167674286348441.20498545382037148227331.143118570670186896238374\
            1.84340842933027824154067061.88040095945103834627376781.496438274988704468110633695016383789211.80369271430\
            88301433672972663277629226608633888533479807393933052864889428085088211821764213868646438952419731
 416    32  2^7.3.13^2.17.53.313.2593.5227.11489.38923.51169.29423041.247161617.305175781.825256433.2220784177.53718158\
            7281.31308249137777.83181652304609.129044008326199409.149343725750590533761.889988147002015336570560929.510\
            2538254078186071676415499055681.5717693557043829027825513019667841281.3656341115365021809667240302504186967\
            6415681
 417    10  2^2.31.5839.21521602057721.6789441546024769741462601111.1446646439677126258978503447303571.2463633633449688\
            423900024936785360355054079.24550591546653776667941845268908441565415743319193209001.3191703275876604529561\
            97990744425945320630785271336243615875691412001095663761902097944314966831617710971971253171
 418    21  2^3.3.23.67.191.419.761.5281.6271.19609.56431.213029.3981071.10123543.12207031.213379486321.458596811346482\
            98337859101583259138328629.7904343218988026792460670575380007658393207937835306387915213621763.220779632976\
            90156110122595623297583216190476696803907377343492337000542711435241254425456657076461909793693026506147389
 419    6+  2^2.839.3676736043047175259.72898712900545938884496308172168836533702575641.8211595568017245480006546054815\
            97464040132750484671807536514912021925655917498785052479021411726979484898408069768677151578549867415005183\
            44849689994294848787391303668440101053634171758781978052625536278703110554610800931491
 420    48  2^4.3^2.7^2.11.13.29.31.41.43.61.71.127.181.211.281.379.421.449.521.601.631.1741.2281.2521.4201.7603.7621.9\
            161.19531.519499.1736701.5236141.15216601.69566521.85280581.234750601.4698932281.119461537021.2458741115628\
            1.21226783250214361.1354224218968567573270561.13148832195720299503896018648521.1213709958819581199045793944\
            7127785109605610509438872341015390625601
 421     9  2^2.14894981.31410466159536169.73688412163867840421869.2510106373340528083960492234939.62266333592762264691\
            07090691434236881.622232758780358778126190590256749954524999505890859340251987532999.1376892416986891660868\
            888952709866680522212404877414052781432896337974197524345976334022067211965993249761230743801
 422    14  2^3.3.22144561409.5594292675731.37973612258438259769.2047676978710884689089.8785612071234927581234843.15507\
            60729196823058417670649.144115393066310961947385445876092809.91807021517467057942827543491998459427.1828352\
            2301529013619136533441360526422166770221.12117471589560986330527567615247238634978313717528365907029
 423    10  2^2.19.31.829.5844169.177635683940025046467781066894531.162861606239176630794679445735801257268899315667729\
            22392814390121.39572332202385740741222289075450046633403426658269930807344301678241999541.35327969662283637\
            841366754184119938798734387168231419369200051153403910044415327994112053319927546540566905718669
 424    18  2^5.3.13.107.313.24452081.5960555749.17154094481.28838378869.27145365052629449.8871726015923707071209.59965\
            9003321309822423087.534366212823606171881874993300544219189772104182089.99254626689654927640261616814658525\
            1329055676315885009163311765166575856031713035384955676431972387484913025322167258482406322245836062321
 425    18  2^2.11.71.101.251.401.409.1531.5101.3609101.9384251.466344409.4878161432677729051.34563155350221618511.8198\
            241112969626815581.1459637301997470426565167784030887286118358690253969858715317332218938484792083629761223\
            907951.3570318085388426862689992717299939701362729159654489762178317567417078384700738664059603980922683813\
            01
 426    16  2^3.3^2.7.31.569.4261.156309592445437909.5747338499820296170481.288231038713838413442281.289365737973391726\
            5396310772669592883.18607929421228039083223253529869111644362732899.295171357962796064582490218093109329335\
            44054168008265017565907.370163242821653845863570763914660810458665023659282594126568842526686335908781669
 427    10  2^2.4271.8419.19531.918585913061.140194179307171898833699259.18978978300104368967581806916192652565860081.7\
            542716440988220524637259849798856565032358594793351250565694550807389.5571433164349905494261241661722523159\
            88635111962748701272517051609259161678627148019360812941633602572608697939823077603694320020152539
 428    18  2^4.3.13.643.6421.25253.5486016363791.35411885288978941.172163150940018661.23252612956243152283169.71743317\
            1088016374418821.18394448899336309965200241530917.997778184811820085932891049469009.13555079006039399409641\
            16623682001125857705117367958794481.159745355677531226795726527119537776550594226912629399294136965936054647
 429    16  2^2.31.79.199.859.12207031.17885869.300128401.305175781.386478495679.24615836446631.608459012088799.5313056\
            6763791958299.460183952753824357170225842292658707895690816315909.15219921508858513202359020908783111420128\
            11171260467737541857816304030266266408690943284816233318966961053368250768477374409972904590524062351057057\
            11
 430    21  2^3.3.11.71.431.521.1291.1549.1721.9547.144982241.1644512641.7866608083.1628744948329.1273316896028212631.1\
            72827552198815888791.1476723231934366547296339034741.141005412019736096211163402930542165718923830957150841\
            91.18630398830832209087447878158239549678421689290147277623426593452370379368964093225084028357189026353737\
            97579083961
 431    7+  2^2.3449.494789.598229.47689015695989309431.926003922340734527424414152661187738299194077141802292639430732\
            88491832095061288877656247462121277257688139117327811550357158990224901571603334564037235365470595067717484\
            220052439660091393987119753545589316237232470795426683343190505356436302224092254701341516154229
 432    48  2^6.3^4.7.13.17.19.31.37.73.109.163.271.313.433.487.601.829.1297.4159.5167.11489.31051.73009.177553.390001.
            543097.1853281.3314953.6597973.16018507.39209617.170735041.1503418321.36280398313.152587500001.246414260277\
            520913233.13012873776055827785521.14551915228363037109375001.2739177855667309845605995807633.35357667927195\
            2201845697742761955433356587636207473909249
 433     4  2^2.25981.4338064682571582405602841173718685724254761573838905129844679468290722343465612144510331859245722\
            63377186697850073011529892187767697025631161773197157155405910947289946103106222974804571978287095561930772\
            2884613978777215003645556651103135691342819379169469806876430598011493566361991545582408603301
 434    20  2^3.3.29.449.1303.1861.8681.19531.51647.21207101.44245867.28086211607.1828916514769.1027650404358607.625552\
            508473588471.20864888505062314147.1598075128211002800035502163679013330767567749518278320396255290253743530\
            5384361.328800666136699978864520621184680471189416600836435950526672362110202512303877367556221916043904309\
            11142652289
 435    23  2^2.11.31.59.71.181.1741.5569.6961.22621.35671.1461311.5931661.646325611.22125996444329.8109704949297807225\
            1.195347093735677589850742253611.28870194250662203210437116612769.2158365113981511371558358567665231.488654\
            500355218081336311051543759628081.596675842200094982252226681828991065806191.560884849453732664366524246874\
            3189031295835341
 436    18  2^4.3.13.1091.19403.1007161.1528399.938804357.36987176266711133.43330701999236285089.4046322895447485867367.
            89818280744210450462726655090961.32707684672709516281678338357373622217207225350621.22935598924042944006923\
            99012979688850301546383400890423075969.67561745444007943379840300576339494809849148808966563919486171726828\
            018449
 437    10  2^2.191.6271.8971.3981071.48398105719.59147335579.332207361361.17316023020884017796664150548467646582912387\
            39520646126187033319284107873728033891408347977537375667145311952607487526594389964939246930441459157689631\
            380345607345371641891465772927581836374067809600870695349921693134182090304918129564640050970413962435821
 438    21  2^3.3^2.7.31.439.429241.2183431.4853479.5729041.1526556583.63554310563.777612767772190289.35706778668975502\
            88203.239701757320911389817996792709.249603886403307106321078321358781541.951952415177034991472620057671402\
            7279.140099662405761231019979868685126328277639556707922162027.36667603876061506254807428501670604344076133\
            7360791812501
 439     7  2^2.1031865461192099.677725117273121779.1567744952609398205028484317631.80664822123021379747650436675623374\
            414348912550454233093709.1991295274797759749046768297491870083503391904247279321993342720113444819687521685\
            7023094171578363665617677166321551471721704945086881129539504280179361742352404114202690430353921526209
 440    38  2^5.3.11^2.13.23.41.67.71.89.241.313.521.881.5281.9161.21121.103511.148721.245521.511831.1458601.12207031.6\
            5628751.190295821.632133361.1030330938209.2802204291103029121.25301535619781301761.431176732175791949797014\
            41.85725237432926769781584361.9080418348371887359375390001.10910444855403996246103496881.227002233582193167\
            1919407906452434826267020529374760481
 441    21  2^2.19.31.379.829.19531.29989.280729.519499.2161279.24556351.5071357999.2035895040229.23792163643711.788186\
            66779584504109.203906616815994386234329833781.227376585863531112677002031251.666745771528612598019338039993\
            1785881.1326741989101977002310909280900124438213535612865860634471.6608505866379298206633367223187863962694\
            898630019536423751
 442    23  2^3.3.409.443.3061.4421.5227.27847.38923.351391.495041.41540861.305175781.466344409.123067090303.2314521415\
            19.510410130722343681961.183276094190104631834639.1436003589550079403417985191612889433318011249.5954120723\
            086877446689864001520990199500692430959.1127241669721180378452301382646836279500842894032791882165198096058\
            70473314982904376247
 443     5  2^2.649538175793866829.616533026379726629232183581257435377049529.27484693767833510692646434261142138828552\
            24213457295549779613099507661443588803607881035803439439631816570907251428489266190992634263533843863188800\
            205578716717125932665879013437681557170333088516275010984151223180717825317055519126175163826908752891
 444    30  2^4.3^2.7.13.31.149.223.601.3109.5107.9103.9769.40849.668221.13844587.29010221.107903101.13971969971.873748\
            1256739.45920153384867.20968892312069830573.221746234901611997486023.59981541210593338548049087060890529.51\
            0241095096183757930733363918820917976121.37076015900302580943561817766744592450248087653.549285209468803071\
            12306785731407655242899973469
 445    19  2^2.11.71.179.8011.15131.26701.9807089.14597959.834019001.26698816301.8157179360521.101232724284574681.1037\
            38789930024471.231669654363683130095909.14542112049750708402496286411251.2060153825724616272421341918951044\
            498583551948083109405118122926811.3208539386324194829169349004961249093567856465506698100710318466612263798\
            0391232936687499471
 446    11  2^3.3.355909.187373521.1588248792798900263.64020956436201443428737029803881709.2897241524694004748801717783\
            8940636982760270727.223988698226129145976861549596872406162886461889.52108911978728008925480042111152563062\
            01254785293138137070204826117885948508789267758488943414199187905249542911251414023036179732589967359248428\
            95159
 447     6  2^2.31.70606076932975930713141061612143919520292695006256271456858149040969.3503246160812042677309323958224\
